Name,Url
OE+Demo_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12100?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Interest_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12101?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Fathers Day Audience_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12102?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Historical Purchase Data_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12103?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Branded Data Competitive Shoppers_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12104?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Intender_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12105?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
Factual+Competitive_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12106?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
Factual+Online Interests_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12107?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
Factual+Behavioral_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12108?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
OE+Contextual_TWAM Celebrate Dad (Hybrid)_Q2'22 ,https://radius.video/v1/distributions/12109?line-item-id=4387&app_bundle=$!{APP_ID}&auction_id=$!{AD_CALL_ID}&clicktracker=XXCLICK_FORM_URL[]XX&device_id=$!{DEVICE_SHA1}&domain=$!{SITE_URL}&gdpr=${IS_GDPR}&tgt=pw&usp=$!{US_PRIVACY}&app={{APP_NAME}}&tgt=direct&tg=$!{USER_POSTAL_CODE}&tgt=geo-weather&nonskippable=1&autopop_first=1&player_font=Montserrat&cta=1&rand_tiles=1&tag=https%3A%2F%2Fdvrtr.innovid.com%2Fv3%2Fvast%3F_media%3D1%26ctx%3D13572386%26cmp%3D147131%26sid%3D6478%26plc%3D2931838%26advid%3D4467%26adsrv%3D118%26psf%3D0%26_vast%3Dhttps%253A%252F%252Frtr.innovid.com%252Fr1.629e06b90ec826.14475143%253Bcb%253D%257Bs1%257D%26_s1%3D%5BCACHEBUSTER%5D%26_api%3D%5BAPIFRAMEWORKS%5D%26_ssm%3D%5BSERVERSIDE%5D%26_tsm%3D[TIMESTAMP]%26gdpr%3D${GDPR}%26gdpr_consent%3D${GDPR_CONSENT_126}%26_abm%3D%5BAPPBUNDLE%5D%26_pum%3D[PAGEURL]
